Data,5 estrelas,4 estrelas,3 estrelas,2 estrelas,1 estrela,Observações
7 de abr. de 2022,15,0,2,1,0,
8 de abr. de 2022,17,4,1,0,1,
9 de abr. de 2022,12,4,0,1,1,
10 de abr. de 2022,13,5,1,0,0,
11 de abr. de 2022,14,3,0,0,0,
12 de abr. de 2022,10,1,0,0,2,
13 de abr. de 2022,11,1,0,0,3,
14 de abr. de 2022,12,0,1,0,3,
15 de abr. de 2022,14,3,0,1,2,
16 de abr. de 2022,13,1,0,1,1,
17 de abr. de 2022,9,3,0,0,2,
18 de abr. de 2022,17,4,0,1,0,
19 de abr. de 2022,12,4,1,0,3,
20 de abr. de 2022,10,4,1,0,0,
21 de abr. de 2022,10,4,0,0,1,
22 de abr. de 2022,19,0,1,0,1,
23 de abr. de 2022,12,1,0,1,0,
24 de abr. de 2022,14,0,2,0,4,
25 de abr. de 2022,15,2,3,0,3,
26 de abr. de 2022,8,0,0,1,1,
27 de abr. de 2022,16,0,0,2,0,Lançamento da versão: Início do lançamento de 6607 (4.40.1) em 5%. Lançamento da versão: Aumento do lançamento de 6607 (4.40.1) para 15%.
28 de abr. de 2022,18,0,2,1,0,Lançamento da versão: Aumento do lançamento de 6607 (4.40.1) para 30%.
29 de abr. de 2022,19,2,2,3,0,
30 de abr. de 2022,11,1,1,0,1,
1 de mai. de 2022,15,3,1,0,3,Lançamento da versão: Aumento do lançamento de 6607 (4.40.1) para 60%.
2 de mai. de 2022,15,1,0,0,3,Lançamento da versão: Aumento do lançamento de 6607 (4.40.1) para 100%.
3 de mai. de 2022,12,1,0,1,1,
4 de mai. de 2022,9,1,2,2,2,
5 de mai. de 2022,8,3,0,0,2,
6 de mai. de 2022,12,1,1,1,3,
7 de mai. de 2022,4,2,0,1,1,
8 de mai. de 2022,10,1,1,0,1,
9 de mai. de 2022,12,5,4,2,7,
10 de mai. de 2022,9,2,3,0,1,
11 de mai. de 2022,13,5,0,1,2,
12 de mai. de 2022,18,0,1,1,1,
13 de mai. de 2022,16,1,2,3,5,
14 de mai. de 2022,16,3,1,1,1,
15 de mai. de 2022,16,2,0,1,1,
16 de mai. de 2022,14,1,2,1,1,
17 de mai. de 2022,18,4,0,0,5,
18 de mai. de 2022,11,1,1,2,3,
19 de mai. de 2022,16,3,1,1,0,Lançamento da versão: Início do lançamento de 6631 (4.40.2) em 100%.
20 de mai. de 2022,13,2,1,2,0,
21 de mai. de 2022,12,3,1,3,3,
22 de mai. de 2022,16,4,0,1,1,
23 de mai. de 2022,17,2,2,2,1,
24 de mai. de 2022,18,2,0,1,1,
25 de mai. de 2022,9,2,0,0,1,
26 de mai. de 2022,16,2,1,0,0,Lançamento da versão: Início do lançamento de 6643 (4.41.0) em 5%.
27 de mai. de 2022,13,2,0,0,0,Lançamento da versão: Interrupção do lançamento de 6643 (4.41.0).
28 de mai. de 2022,12,1,1,1,0,
29 de mai. de 2022,24,0,0,0,3,
30 de mai. de 2022,15,3,1,0,2,Lançamento da versão: Início do lançamento de 6660 (4.41.1) em 1%.
31 de mai. de 2022,17,2,1,2,0,Lançamento da versão: Aumento do lançamento de 6660 (4.41.1) para 5%.
1 de jun. de 2022,7,2,2,4,4,Lançamento da versão: Aumento do lançamento de 6660 (4.41.1) para 15%.
2 de jun. de 2022,14,6,2,1,3,Lançamento da versão: Aumento do lançamento de 6660 (4.41.1) para 35%. Lançamento da versão: Aumento do lançamento de 6660 (4.41.1) para 70%.
3 de jun. de 2022,12,1,2,0,2,Lançamento da versão: Aumento do lançamento de 6660 (4.41.1) para 100%.
4 de jun. de 2022,13,2,0,1,6,
5 de jun. de 2022,13,0,2,1,5,
6 de jun. de 2022,14,0,0,1,3,
7 de jun. de 2022,8,0,2,0,4,
8 de jun. de 2022,7,1,1,1,1,Lançamento da versão: Início do lançamento de 6668 (4.42.0) em 1%.
9 de jun. de 2022,8,0,2,0,4,Lançamento da versão: Aumento do lançamento de 6668 (4.42.0) para 5%. Lançamento da versão: Aumento do lançamento de 6668 (4.42.0) para 15%.
10 de jun. de 2022,14,5,2,1,2,Lançamento da versão: Interrupção do lançamento de 6668 (4.42.0).
11 de jun. de 2022,10,3,0,0,0,
12 de jun. de 2022,9,1,0,0,2,Lançamento da versão: Início do lançamento de 6682 (4.42.1) em 5%.
13 de jun. de 2022,8,0,1,0,1,Lançamento da versão: Aumento do lançamento de 6682 (4.42.1) para 15%.
14 de jun. de 2022,13,1,0,0,2,Lançamento da versão: Aumento do lançamento de 6682 (4.42.1) para 35%.
15 de jun. de 2022,10,0,2,0,1,Lançamento da versão: Aumento do lançamento de 6682 (4.42.1) para 70%.
16 de jun. de 2022,13,0,0,0,5,Lançamento da versão: Aumento do lançamento de 6682 (4.42.1) para 100%.
17 de jun. de 2022,12,0,2,0,2,
18 de jun. de 2022,13,2,0,0,2,
19 de jun. de 2022,5,2,2,1,4,
20 de jun. de 2022,10,0,0,2,3,
