Term,App ID,App Name,Country,Device,Traffic,Difficulty,Competing Apps,2022-06-11,2022-06-10,2022-06-09,2022-06-08,2022-06-07,2022-06-06,2022-06-05,2022-06-04,2022-06-03,2022-06-02,2022-06-01,2022-05-31,2022-05-30,2022-05-29,2022-05-28,2022-05-27,2022-05-26,2022-05-25,2022-05-24,2022-05-23,2022-05-22,2022-05-21,2022-05-20,2022-05-19,2022-05-18,2022-05-17,2022-05-16,2022-05-15,2022-05-14,2022-05-13
outlet intuição,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,7.7,30,3,4,2,2,2,2,3,3,,,,,,,,,,,,,,,,8,11,5,3,5,5,6
outlet intuição,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,7.7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,
outlet intuição,com.mobfiq.offpremium,OFF Premium,BR,Phone,,7.7,30,,,,,,,,,12,10,6,7,13,10,9,6,8,6,2,9,10,14,14,14,16,15,16,13,12,12
outlet intuição,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,7.7,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
outlet lacoste,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,,8.8,30,30,24,,,,,26,,,29,,,26,,,,,29,32,33,45,26,31,18,32,36,49,48,34,39
outlet lacoste,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,8.8,30,8,13,14,6,9,7,4,4,8,14,9,9,10,7,10,8,7,8,15,10,9,10,14,4,12,5,6,6,7,5
outlet lacoste,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,8.8,30,9,8,8,11,7,8,8,9,12,11,13,12,12,11,8,14,12,9,9,11,12,9,13,9,15,16,12,14,15,14
outlet lacoste,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,8.8,30,,44,,,,,,,,,,,,,,,,43,37,39,47,36,29,31,37,33,45,40,36,46
outlet lacoste,com.mobfiq.offpremium,OFF Premium,BR,Phone,,8.8,30,27,28,21,26,20,13,12,20,17,17,14,17,16,15,15,13,16,13,11,20,17,16,23,29,31,24,41,27,22,32
outlet lacoste,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,8.8,30,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
outlet michael kors,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,,6.8,30,,,,,,,,,17,15,21,,16,26,29,30,16,18,20,19,28,18,,20,22,14,26,45,18,20
outlet michael kors,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,6.8,30,11,16,18,11,11,13,12,11,,,,,,,,,,,,,,,,,13,,,,,
outlet michael kors,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,6.8,30,,,,,,,,,11,14,12,26,19,22,11,14,13,14,12,10,21,10,13,14,23,16,9,13,12,10
outlet michael kors,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,6.8,30,16,12,13,18,17,19,15,17,12,11,10,16,12,11,14,11,11,10,13,12,13,13,15,11,19,10,12,12,13,16
outlet michael kors,com.mobfiq.offpremium,OFF Premium,BR,Phone,,6.8,30,7,6,6,7,6,6,6,6,6,6,4,6,6,5,6,6,5,6,4,6,7,7,5,4,6,4,6,3,5,4
outlet michael kors,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,6.8,30,6,8,7,6,7,7,7,7,7,7,6,7,7,7,7,8,7,7,5,7,5,4,4,6,4,5,5,9,7,7
outlet morena rosa,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,,7.5,30,14,17,20,14,19,18,16,18,18,15,15,17,14,14,16,15,14,19,15,14,14,13,17,13,14,12,15,17,16,15
outlet morena rosa,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,7.5,30,5,8,7,5,5,7,6,6,4,6,3,3,4,3,4,5,5,4,8,9,3,8,8,6,5,4,4,6,8,8
outlet morena rosa,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,7.5,30,4,3,3,3,3,3,4,4,3,4,4,6,3,4,6,7,4,6,5,3,4,7,3,4,9,3,2,5,3,7
outlet morena rosa,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,7.5,30,,,,,,,,,,,,,,,,28,28,26,32,32,,37,,26,31,40,34,34,36,38
outlet morena rosa,com.mobfiq.offpremium,OFF Premium,BR,Phone,,7.5,30,22,28,27,24,20,12,13,14,12,9,7,10,13,11,12,4,8,12,4,15,11,9,6,10,4,7,6,7,4,10
outlet morena rosa,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,7.5,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
outlet mr kitsch,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,,7.7,30,23,20,21,21,21,19,23,20,,25,29,,27,,,,31,,28,27,27,27,26,38,32,36,36,34,25,30
outlet mr kitsch,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,7.7,30,3,4,3,2,2,2,3,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,2,2,3,3,2,2,3,2
outlet mr kitsch,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,7.7,30,,,,,,,,,5,5,6,7,6,7,6,7,5,4,2,4,5,4,4,5,7,7,7,6,6,6
outlet mr kitsch,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,7.7,30,,,,,,,,,,,,,,,,,33,,,41,43,42,40,47,37,45,45,35,38,45
outlet mr kitsch,com.mobfiq.offpremium,OFF Premium,BR,Phone,,7.7,30,19,17,14,18,15,7,6,8,17,11,10,11,15,11,19,11,11,13,9,19,16,16,36,24,36,33,38,25,30,34
outlet mr kitsch,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,7.7,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
outlet nike,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,0.8,8.9,30,,,,,,,,,,,,,30,,,,34,,30,33,44,,38,34,33,38,37,23,32,45
outlet nike,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,0.8,8.9,30,9,9,9,9,9,8,9,9,8,9,9,9,9,9,9,9,8,8,9,8,9,9,9,9,10,10,10,11,9,8
outlet nike,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,0.8,8.9,30,10,11,10,10,10,10,10,10,9,11,11,10,11,11,12,11,11,11,11,11,12,11,11,11,12,12,13,13,12,12
outlet nike,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,0.8,8.9,30,,,,,,,,,,,,,,30,,,25,,32,38,34,,33,30,36,36,35,24,40,51
outlet nike,com.mobfiq.offpremium,OFF Premium,BR,Phone,0.8,8.9,30,24,,20,,23,17,17,18,18,18,16,17,18,17,17,16,15,14,14,23,29,20,43,43,54,45,33,46,38,80
outlet nike,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,0.8,8.9,30,5,7,5,4,6,4,5,5,2,4,3,2,4,4,4,6,2,2,1,3,1,1,1,3,3,4,4,4,5,3
outlet perlatto,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,,7.5,30,,,,,,,,,,,,,,,,,,55,48,42,,45,53,41,46,46,84,76,54,59
outlet perlatto,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,7.5,30,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
outlet perlatto,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,7.5,30,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,4,3,5,5,6,6,5,4
outlet perlatto,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,7.5,30,,,,,,,,,,,,,,,,,,78,61,49,,67,55,74,45,56,85,52,50,67
outlet perlatto,com.mobfiq.offpremium,OFF Premium,BR,Phone,,7.5,30,,,,,,25,21,29,25,21,15,19,18,13,20,7,8,19,16,27,18,22,39,47,34,30,34,14,24,35
outlet perlatto,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,7.5,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
outlet premium,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,5.1,8.8,30,22,,,,,,30,46,61,44,48,45,33,61,54,54,45,52,51,46,49,50,52,55,41,42,48,51,42,51
outlet premium,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,5.1,8.8,30,10,10,10,10,9,10,11,10,11,12,12,12,11,10,11,11,11,10,11,10,10,12,12,12,12,12,12,12,12,10
outlet premium,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,5.1,8.8,30,9,8,8,8,8,8,9,9,9,9,10,9,9,9,10,9,9,9,9,12,12,10,10,10,11,11,9,11,11,12
outlet premium,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,5.1,8.8,30,20,22,23,21,18,21,24,27,29,29,25,27,27,23,15,16,15,15,18,17,17,18,18,16,17,17,16,25,25,25
outlet premium,com.mobfiq.offpremium,OFF Premium,BR,Phone,5.1,8.8,30,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
outlet premium,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,5.1,8.8,30,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5
outlet samsonite,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,,8.9,30,27,,30,29,,29,29,27,,,,,,,,,,,,,,,,,,38,,,,
outlet samsonite,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,8.9,30,12,13,12,7,15,13,11,10,,,,,,,,,,,,,,,,,,,,,,
outlet samsonite,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,8.9,30,7,8,7,8,8,8,9,12,,,,,,,,,,,,,,,,14,16,16,13,13,,
outlet samsonite,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,8.9,30,28,27,,25,27,27,,28,28,27,23,23,21,24,27,21,23,24,22,22,24,33,29,24,33,48,44,35,27,37
outlet samsonite,com.mobfiq.offpremium,OFF Premium,BR,Phone,,8.9,30,,,,,,,,,8,8,6,9,6,6,8,7,6,6,4,9,9,8,8,7,7,12,7,7,10,9
outlet samsonite,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,8.9,30,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
outlet tracta,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,,8.7,30,17,19,24,27,25,22,23,21,17,15,19,13,13,15,15,15,16,14,15,17,17,15,16,25,19,19,25,29,19,26
outlet tracta,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,8.7,30,12,15,16,7,11,11,6,4,,,,,,,,,,,,,,,,10,,,9,,,
outlet tracta,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,8.7,30,10,9,10,10,10,8,10,13,9,10,11,10,10,10,12,10,11,6,9,8,12,11,12,12,14,15,14,19,16,18
outlet tracta,com.mobfiq.offpremium,OFF Premium,BR,Phone,,8.7,30,,,,,,,,,10,9,7,7,9,7,10,6,5,5,4,10,9,6,9,4,11,10,10,4,8,5
outlet tracta,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,8.7,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
outlet triton,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,,5.8,30,,,,,,,,,27,22,27,26,17,20,21,21,17,23,17,25,24,21,21,51,32,22,37,36,34,28
outlet triton,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,5.8,30,,,,,,,,,6,5,6,4,6,3,3,6,2,4,6,4,6,9,9,8,5,5,5,6,5,11
outlet triton,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,5.8,30,,,,,,,,,7,7,7,8,5,6,8,4,4,6,5,7,7,4,4,12,11,9,8,10,12,5
outlet triton,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,5.8,30,,,,,,,,,26,29,28,23,23,25,26,20,18,20,20,26,21,25,25,40,34,32,39,29,35,32
outlet triton,com.mobfiq.offpremium,OFF Premium,BR,Phone,,5.8,30,,,,,,,,,8,6,4,6,3,4,6,3,3,5,2,6,8,5,5,6,3,7,7,7,8,4
outlet triton,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,5.8,30,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
outlet umbro,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,,8.9,30,,,,,,,,,,,,,,,,,63,,,,45,48,49,47,34,37,60,66,50,73
outlet umbro,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,8.9,30,9,7,8,7,8,8,7,7,8,7,8,8,7,7,8,8,8,7,7,8,8,9,9,7,8,8,9,8,8,9
outlet umbro,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,8.9,30,7,8,7,11,7,7,8,12,12,9,13,13,11,10,10,13,15,11,11,9,10,10,10,11,10,10,11,11,11,12
outlet umbro,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,8.9,30,,,,,,,,,,,,,,,,,44,,,,47,44,32,35,29,39,47,32,37,59
outlet umbro,com.mobfiq.offpremium,OFF Premium,BR,Phone,,8.9,30,,,,,,17,20,22,18,16,15,17,16,15,20,16,12,18,12,23,20,20,34,33,43,50,38,33,22,29
outlet umbro,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,8.9,30,3,5,5,5,5,4,4,3,3,4,4,4,4,4,4,5,2,4,4,4,1,2,4,4,4,4,3,3,4,2
outlet west coast,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,4.4,30,,,,,,,,,12,19,13,14,22,24,18,19,17,18,25,21,24,27,27,23,23,12,12,17,21,20
outlet west coast,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,4.4,30,17,19,22,12,14,16,17,14,17,16,12,12,13,13,9,10,10,10,11,11,9,12,12,10,11,13,13,10,10,14
outlet west coast,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,4.4,30,,,,,,,,,5,4,3,3,5,6,4,5,4,3,4,3,2,4,4,4,3,2,3,4,2,2
outlet wrangler,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,,8.8,30,,,,,,,,,,,,,,,,,29,33,36,25,39,36,43,37,53,30,55,61,25,34
outlet wrangler,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,,8.8,30,11,15,22,8,14,15,9,10,,,,,,,,,,,,,,,,,,,,,,
outlet wrangler,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,,8.8,30,13,17,15,10,13,13,17,15,14,11,15,15,17,16,14,15,13,13,14,15,22,18,12,16,23,15,16,26,14,12
outlet wrangler,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,,8.8,30,,,,28,,,,,,,,28,,,29,28,24,26,27,33,32,39,32,28,44,31,57,34,22,27
outlet wrangler,com.mobfiq.offpremium,OFF Premium,BR,Phone,,8.8,30,19,18,16,17,17,10,6,16,11,10,8,10,5,6,7,7,5,10,7,11,7,14,17,12,17,23,20,11,16,15
outlet wrangler,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,,8.8,30,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
privalia,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,6.1,8.5,240,7,10,8,8,10,8,10,10,9,11,10,10,9,9,14,13,12,12,15,16,15,14,14,12,12,12,15,17,13,14
privalia,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,6.1,8.5,240,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,4,4,4,4,4,4
privalia,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,6.1,8.5,240,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,3
privalia,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,6.1,8.5,240,32,36,47,47,33,39,34,34,33,35,31,30,32,35,36,35,36,31,35,36,37,33,33,42,34,32,39,34,36,38
privalia,com.mobfiq.offpremium,OFF Premium,BR,Phone,6.1,8.5,240,19,24,22,16,12,17,14,14,12,12,11,11,12,15,10,12,11,11,9,10,14,13,13,15,14,14,11,12,14,12
privalia,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,6.1,8.5,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
privalia br,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,0.6,8.7,173,13,19,18,17,17,14,15,15,16,16,16,17,15,17,17,18,17,14,15,15,15,15,15,14,14,15,19,16,15,17
privalia br,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,0.6,8.7,173,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3
privalia br,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,0.6,8.7,173,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4
privalia br,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,0.6,8.7,173,49,50,59,53,52,54,50,,57,60,53,58,50,55,57,55,48,56,,56,,,52,,,,,,,
privalia br,com.mobfiq.offpremium,OFF Premium,BR,Phone,0.6,8.7,173,52,52,40,42,35,39,38,39,23,23,26,23,26,26,21,20,21,18,19,19,23,20,20,26,24,16,14,14,18,13
privalia br,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,0.6,8.7,173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
roupas de marca,amaro.amaroandroid,AMARO: Comprar Moda e Beleza,BR,Phone,0.7,8.7,30,8,11,9,9,10,10,12,9,7,7,8,8,6,7,9,8,10,9,12,8,11,12,12,10,11,11,9,10,9,11
roupas de marca,br.com.dafiti,Dafiti - Promoção de roupas,BR,Phone,0.7,8.7,30,2,1,3,2,2,1,1,1,1,3,3,2,3,2,2,2,1,1,4,3,3,3,3,4,1,1,1,3,2,2
roupas de marca,br.com.zattini,Zattini: Loja de Roupas Online,BR,Phone,0.7,8.7,30,3,4,1,1,1,2,2,2,4,4,1,3,1,3,1,1,2,3,1,1,1,1,1,1,2,2,2,1,1,1
roupas de marca,com.farfetch.farfetchshop,FARFETCH — Designer Shopping,BR,Phone,0.7,8.7,30,10,10,17,15,17,16,15,17,12,10,10,11,13,6,11,10,9,6,10,7,8,10,10,8,9,12,10,14,12,12
roupas de marca,com.mobfiq.offpremium,OFF Premium,BR,Phone,0.7,8.7,30,24,29,27,,24,29,28,26,29,27,23,22,28,20,30,,27,26,27,34,39,43,45,41,39,41,31,45,41,35
roupas de marca,com.privalia.br,Privalia: Maior Outlet Online,BR,Phone,0.7,8.7,30,1,2,2,3,3,3,3,4,2,2,2,1,4,1,4,5,4,4,2,4,2,2,2,2,3,3,4,4,4,3
outlet javali,,,BR,Phone,,4.8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
