,Data,5 estrelas,4 estrelas,3 estrelas,2 estrelas,1 estrela
166,7/06/2022,8,0,2,0,4
167,8/06/2022,7,1,1,1,1
168,9/06/2022,8,0,2,0,4
169,10/06/2022,14,5,2,1,2
170,11/06/2022,10,3,0,0,0
171,12/06/2022,9,1,0,0,2
172,13/06/2022,8,0,1,0,1
173,14/06/2022,13,1,0,0,2
174,15/06/2022,10,0,2,0,1
175,16/06/2022,13,0,0,0,5
176,17/06/2022,12,0,2,0,2
177,18/06/2022,13,2,0,0,2
178,19/06/2022,5,2,2,1,4
179,20/06/2022,10,0,0,2,3
